,rating,genre,year,score,votes,budget,gross,runtime,month,continent
260,R,Animation,2015,7.3,68000.0,8000000.0,5659286.0,90.0,March,Europe
261,R,Action,2012,7.4,349000.0,102000000.0,130482868.0,172.0,October,North_America
262,PG_13,Mystery,1996,6.2,34000.0,25000000.0,14063331.0,115.0,May,North_America
263,R,Crime,2017,7.3,50000.0,34000000.0,23355100.0,143.0,August,North_America
264,PG_13,Comedy,1998,6.8,63000.0,50000000.0,159710793.0,125.0,December,North_America
265,R,Crime,1996,6.0,13000.0,50000000.0,22540359.0,113.0,October,North_America
266,PG_13,Drama,2011,6.7,290000.0,60000000.0,136515867.0,106.0,September,Asia
267,R,Comedy,2005,6.6,14000.0,1000000.0,2708087.0,94.0,April,Europe
268,PG,Action,2005,5.6,90000.0,56000000.0,198636868.0,95.0,March,North_America
269,R,Crime,1996,5.7,18000.0,44000000.0,22754725.0,118.0,February,North_America
270,R,Drama,2006,6.9,62000.0,15000000.0,10907485.0,116.0,March,North_America
271,R,Biography,2001,7.0,18000.0,5500000.0,16153953.0,91.0,March,Europe
272,PG_13,Action,2009,5.3,68000.0,100000000.0,68777554.0,102.0,June,North_America
273,PG,Action,2004,5.9,87000.0,110000000.0,72178895.0,120.0,June,North_America
274,R,Crime,2018,7.0,121000.0,50000000.0,174804407.0,116.0,December,North_America
275,R,Action,2008,6.8,109000.0,20000000.0,66476363.0,109.0,April,North_America
276,R,Comedy,2015,5.4,33000.0,35000000.0,14431253.0,91.0,March,North_America
277,R,Action,2015,5.5,69000.0,60000000.0,47275717.0,107.0,January,Europe
278,PG_13,Biography,1992,7.5,55000.0,31000000.0,9493259.0,143.0,January,Europe
279,G,Animation,2007,8.0,660000.0,150000000.0,623726085.0,111.0,June,North_America
280,PG_13,Comedy,1992,6.6,108000.0,55000000.0,149022650.0,104.0,July,North_America
281,PG,Comedy,1984,6.0,2600.0,12000000.0,19928200.0,96.0,February,North_America
282,PG_13,Adventure,1985,6.2,60000.0,17000000.0,49364621.0,95.0,July,North_America
283,R,Drama,2009,7.3,107000.0,10000000.0,63649529.0,110.0,November,North_America
